Project,Workflow,Job,Step,failures,runtime diff in job, runtime diff in step,Runtime with fix,Runtime wo fix,step-runtime w fix,step-runtime wo fix,commit sha with fix,commit sha wo fix,build log with fix,build log wo fix
socket.io-client-java,CI,verify (7),Run the Maven verify phase,,9.0,1.0,137.0,138.0,129.0,130.0,fcc5d8c7bab43bcd8dc360384b445657aa1b7ef4,ad3a930e346ad54acd8e895b01418f7b936776dd,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517208816/jobs/7956236304,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517208856/jobs/7956236349
socket.io-client-java,CI,verify (8),Run the Maven verify phase,,12.0,3.0,142.0,139.0,127.0,130.0,fcc5d8c7bab43bcd8dc360384b445657aa1b7ef4,ad3a930e346ad54acd8e895b01418f7b936776dd,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517208816/jobs/7956236344,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517208856/jobs/7956236392
socket.io-client-java,CI,verify (11),Run the Maven verify phase,,13.0,1.0,143.0,143.0,130.0,131.0,fcc5d8c7bab43bcd8dc360384b445657aa1b7ef4,ad3a930e346ad54acd8e895b01418f7b936776dd,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517208816/jobs/7956236389,https://github.com/optimizing-ci-builds/socket.io-client-java/actions/runs/4517208856/jobs/7956236446
mooc-software-testing,Java CI with Maven,build,Build with Maven,,22.0,10.0,22.0,35.0,13.0,23.0,f8563a9ce84ce010ad9593666ddb56d596318541,daf30179bddc1c395f135e34a3330f1a154e423b,https://github.com/optimizing-ci-builds/mooc-software-testing/actions/runs/4517209036/jobs/7956236660,https://github.com/optimizing-ci-builds/mooc-software-testing/actions/runs/4517209050/jobs/7956236662
matsim-example-project,Java CI with Maven,build,Run mvn verify,,-57.0,-75.0,312.0,233.0,290.0,215.0,438350e75b84d89bac7f6280746d346113527310,d998237b4e3992ff999732d32479e2366ad50b2e,https://github.com/optimizing-ci-builds/matsim-example-project/actions/runs/4517209185/jobs/7956236931,https://github.com/optimizing-ci-builds/matsim-example-project/actions/runs/4517209216/jobs/7956236945
JSqlParser,Java CI with Maven,Java 8 building ...,Build with Maven,,16.0,3.0,102.0,108.0,92.0,95.0,b99b1c8b8dc3d25e27cd3b7ada62380d8afbc214,27f759b5cacead48d62b8ad3485e32fbedd0955f,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4517209318/jobs/7956237176,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4517209311/jobs/7956237161
JSqlParser,Java CI with Maven,Java 11 building ...,Build with Maven,,-5.0,-12.0,111.0,98.0,103.0,91.0,b99b1c8b8dc3d25e27cd3b7ada62380d8afbc214,27f759b5cacead48d62b8ad3485e32fbedd0955f,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4517209318/jobs/7956237218,https://github.com/optimizing-ci-builds/JSqlParser/actions/runs/4517209311/jobs/7956237213
junit4,CI,Build and verify (JDK 6),Build and verify,,28.0,21.0,60.0,75.0,47.0,68.0,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517209420/jobs/7956237352,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517209447/jobs/7956237384
junit4,CI,Build and verify (JDK 8),Build and verify,,-41.0,-49.0,103.0,55.0,96.0,47.0,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517209420/jobs/7956237399,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517209447/jobs/7956237436
junit4,CI,Build and verify (JDK 11),Build and verify,,7.0,0.0,107.0,107.0,100.0,100.0,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517209420/jobs/7956237457,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517209447/jobs/7956237495
junit4,CI,Build and verify (JDK 17),Build and verify,,29.0,15.0,74.0,94.0,65.0,80.0,3ddbb42240093aa760c0e93e3d3fb75eff50fa47,3d57bc8545cea05efadf0a53e395d54ee02316c0,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517209420/jobs/7956237509,https://github.com/optimizing-ci-builds/junit4/actions/runs/4517209447/jobs/7956237545
